id,наименование,ссылка,"регулярная цена, руб.","промо цена, руб.",бренд
218276,"Сыр Карат плавленный сливочный слайсы 25%, 130г",https://online.metro-cc.ru/products/130g-syr-plavlenyy-25-karat-slivochnyy-slaysy-bzmzh,83,69,КАРАТ
116688,"Сыр плавленый Карат с белыми грибами 45%, 90г",https://online.metro-cc.ru/products/karat-s-belymi-gribami-45-90-g-bzmzh,51,47,КАРАТ
426353,"Сыр Mlekara Sabac А ла Каймак мягкий 70%, 150г",https://online.metro-cc.ru/products/mlekara-sabac-a-la-kajmak-myagkij-70-150-g-bzmzh,134,нет скидки,MLEKARA SABAC
218904,"Сыр Sveza творожный сливочный 60%, 150г",https://online.metro-cc.ru/products/150g-syr-tvorozhnyy-60-sveza-slivochnyy-bzmzh,114,нет скидки,SVEZA
329085,"Сыр President плавленый с грибами, 150г",https://online.metro-cc.ru/products/president-master-buterbrodov-s-gribami-150-g-bzmzh,134,99,PRESIDENT
657075,"Сыр Cheezi Terra del Gusto Горгонзола с голубой плесенью 60%, 100г",https://online.metro-cc.ru/products/cheezzi-terra-del-gusto-gorgonzola-s-goluboj-60-100g-bzmzh,309,нет скидки,CHEEZI
666835,"Сыр Burenka Club Бри Бланш мягкий с белой плесенью 50%, 125г",https://online.metro-cc.ru/products/burenka-club-bri-blansh-s-beloj-50-125-g,299,нет скидки,BURENKA CLUB
134943,"Сыр плавленый Hochland с ветчиной 55%, 200г",https://online.metro-cc.ru/products/plavlennyj-hochland-s-vetchinoj-55-200g-bzmzh,169,нет скидки,HOCHLAND
214931,"Сыр плавленый Карат Янтарь ломтиками 25%, 130г",https://online.metro-cc.ru/products/130g-syr-plavlenyy-yantar-25-karat-slaysy-bzmzh,74,нет скидки,КАРАТ
604286,"METRO Chef Сыр Пармезан хлопья 32%, 500г",https://online.metro-cc.ru/products/hlopya-parmezana-metro-chef-32-500-g-bzmzh,1 089,нет скидки,METRO CHEF
319688,"Сыр Предгорье Кавказа Адыгейский, ~800г",https://online.metro-cc.ru/products/adygejskij-predgorye-800g-bzmzh,909,нет скидки,ПРЕДГОРЬЕ КАВКАЗА
